condition,method,specimen,chamfer_l1_mm,hd95_mm,fscore_1mm,normal_consistency,precision_1mm,coverage_1mm
clean:0,raw,specimen01,1.0519366489694075,8.482858599848928,0.8387656523335959,0.8284269262632207,0.7673039704228138,0.9305458883427716
clean:0,raw,specimen02,1.3021700651053447,13.681414646765601,0.8156018119630479,0.8463907918053409,0.7293617164894842,0.9259713969144435
clean:0,raw,specimen03,1.7037239184722288,16.600573592991463,0.6837471601569053,0.8164616265510573,0.5837950522164265,0.8338246390480007
clean:0,raw,specimen04,3.100740269855192,20.717118018550405,0.7186043943487185,0.82170234121179,0.6438663570948265,0.8389860339854786
clean:0,raw,specimen05,2.525832080377388,20.63869190157548,0.6575751022814725,0.8483254024730046,0.557238101331285,0.8071532781308978
clean:0,raw,specimen06,2.1899471528433234,25.103054581322436,0.7675549773588406,0.8004734378492829,0.6543926574924255,0.9328616646106557
clean:0,raw,specimen07,1.6747558069957063,19.928234268039134,0.7936099886023871,0.8544994419742897,0.7007748611067931,0.922876652466872
clean:0,raw,specimen08,1.5840575523369662,9.872031287708081,0.7855791135827519,0.8287896665778965,0.6824717817229828,0.9272022902272843
clean:0,raw,specimen09,1.7914359149216859,14.64797153613037,0.73963408157086,0.8324132300296113,0.6385395638541752,0.8789696760220392
clean:0,raw,specimen10,2.158195302695478,14.933566065165467,0.5321453342284622,0.8336007879308358,0.48355588022094675,0.5963241430610705
clean:0,raw,specimen11,2.989809352437018,32.51734294885429,0.5319095264424564,0.8456439113149375,0.4681155680431511,0.6163521601225773
clean:0,raw,specimen12,2.061835952123799,14.296684184392523,0.6785302430014624,0.8434539311794688,0.5775400688202935,0.8309551046567192
clean:0,raw,specimen13,2.9599001763102457,17.914154696416272,0.5516970969800329,0.7976666275670734,0.45247237128761,0.7075926594669916
clean:0,raw,specimen14,1.7670450402893918,13.531040642442905,0.7903796478288224,0.8069426013193638,0.6906868122967441,0.934497278182486
clean:0,cross_sweep_nearest,specimen01,0.8345122638908657,6.204235040693612,0.8515228611624472,0.8705007732491016,0.8203780638519699,0.8899808731100743
clean:0,cross_sweep_nearest,specimen02,0.9355427407633613,4.08556934915044,0.8353344120483688,0.8802953040047607,0.7865150022183008,0.891375843709354
clean:0,cross_sweep_nearest,specimen03,1.339046081029409,12.184888241294844,0.6947796895880671,0.8473956628254765,0.6245892856071732,0.7892992471140255
clean:0,cross_sweep_nearest,specimen04,2.519659157412269,11.77397269152947,0.7441491514397374,0.851867347433358,0.6958588134730096,0.8206480064800057
clean:0,cross_sweep_nearest,specimen05,2.235492608326188,19.42357019813505,0.6717993608414954,0.8788121576844499,0.6018320500105626,0.7654529455788855
clean:0,cross_sweep_nearest,specimen06,1.8332048908981544,14.608165841370328,0.7999355038096997,0.8360126078253168,0.7165760658003338,0.9096119993114118
clean:0,cross_sweep_nearest,specimen07,1.2916596081407463,9.5227988816879,0.8226388843409311,0.8878928483099654,0.764949227487555,0.8961189255638127
clean:0,cross_sweep_nearest,specimen08,1.2689679957781632,7.780251259254534,0.8093900861981496,0.8653555676092579,0.7378652995587567,0.8975364569667731
clean:0,cross_sweep_nearest,specimen09,1.723757400157606,12.804176735497641,0.7582944006553226,0.8686965662343553,0.6862215622126455,0.8474772424441093
clean:0,cross_sweep_nearest,specimen10,1.9817328196775421,13.73255328219465,0.5263475537498218,0.8555305942714377,0.5070993902364935,0.5513017023462546
clean:0,cross_sweep_nearest,specimen11,2.7478708555327884,26.161094116457036,0.5180061984578428,0.8699237921616018,0.483488835948015,0.5584242611804358
clean:0,cross_sweep_nearest,specimen12,1.8564485682588645,14.56831833769939,0.6951872217158476,0.8668941845174607,0.6212688134460771,0.7977650251895515
clean:0,cross_sweep_nearest,specimen13,2.9524165325889657,16.34452580698421,0.5615912761473727,0.8226707998459138,0.4833045865177324,0.6712092627255254
clean:0,cross_sweep_nearest,specimen14,1.576986834657298,12.563191478038467,0.8036361987808762,0.8314175468020469,0.7340177048810471,0.8970024554706638
clean:0,pfad,specimen01,0.7178933894566434,2.4703286438343457,0.8495738865383059,0.8659132896133475,0.8133661902960818,0.8930054507445103
clean:0,pfad,specimen02,0.6734349934220742,1.948101604804041,0.8476283073137441,0.8933804573198943,0.7956186247195349,0.9080032700183919
clean:0,pfad,specimen03,1.0543795964950908,6.040327547418855,0.7067585522681643,0.8556773584724886,0.6345748429445682,0.8024450798887933
clean:0,pfad,specimen04,2.386873951010733,11.497877532647843,0.7461245150042181,0.8588010333494934,0.6960334171220303,0.8243273998776856
clean:0,pfad,specimen05,1.6858810804495885,15.548062421834503,0.6868613136080023,0.8874870001476073,0.6171440973839504,0.7789554698685697
clean:0,pfad,specimen06,1.3396302315657895,12.02941756830655,0.8144742363074334,0.8483080154973867,0.7313719211465716,0.9230920753736159
